"DRXFDCD","DRXFCSD","DRXFCLD"
11513800,"CHOCOLATE MILK, MADE FROM LIGHT SYRUP, NS AS TO TYPE OF MILK","Chocolate milk, made from light syrup, NS as to type of milk"
11513801,"CHOCOLATE MILK, MADE FROM LIGHT SYRUP WITH WHOLE MILK","Chocolate milk, made from light syrup with whole milk"
11513802,"CHOCOLATE MILK, MADE FROM LIGHT SYRUP WITH REDUCED FAT MILK","Chocolate milk, made from light syrup with reduced fat milk"
11513803,"CHOCOLATE MILK, MADE FROM LIGHT SYRUP WITH LOW FAT MILK","Chocolate milk, made from light syrup with low fat milk"
11513804,"CHOCOLATE MILK, MADE FROM LIGHT SYRUP WITH FAT FREE MILK","Chocolate milk, made from light syrup with fat free milk"
11513805,"CHOCOLATE MILK, MADE FROM LIGHT SYRUP WITH NON-DAIRY MILK","Chocolate milk, made from light syrup with non-dairy milk"
11513850,"CHOCOLATE MILK, MADE FROM SUGAR FREE SYRUP, NS AS TO TYPE OF","Chocolate milk, made from sugar free syrup, NS as to type of milk"
11513851,"CHOCOLATE MILK, MADE FROM SUGAR FREE SYRUP WITH WHOLE MILK","Chocolate milk, made from sugar free syrup with whole milk"
11513852,"CHOCOLATE MILK, MADE FROM SUGAR FREE SYRUP WITH REDUCED FAT","Chocolate milk, made from sugar free syrup with reduced fat milk"
11513853,"CHOCOLATE MILK, MADE FROM SUGAR FREE SYRUP WITH LOW FAT MILK","Chocolate milk, made from sugar free syrup with low fat milk"
11513854,"CHOCOLATE MILK, MADE FROM SUGAR FREE SYRUP WITH FAT FREE MIL","Chocolate milk, made from sugar free syrup with fat free milk"
11513855,"CHOCOLATE MILK, MADE FROM SUGAR FREE SYRUP WITH NON-DAIRY MI","Chocolate milk, made from sugar free syrup with non-dairy milk"
11514100,"HOT CHOCOLATE / COCOA, MADE WITH DRY MIX AND WATER","Hot chocolate / Cocoa, made with dry mix and water"
11514110,"HOT CHOCOLATE / COCOA, MADE WITH DRY MIX AND WHOLE MILK","Hot chocolate / Cocoa, made with dry mix and whole milk"
11514120,"HOT CHOCOLATE / COCOA, MADE WITH DRY MIX AND REDUCED FAT MIL","Hot chocolate / Cocoa, made with dry mix and reduced fat milk"
11514130,"HOT CHOCOLATE / COCOA, MADE WITH DRY MIX AND LOW FAT MILK","Hot chocolate / Cocoa, made with dry mix and low fat milk"
11514140,"HOT CHOCOLATE / COCOA, MADE WITH DRY MIX AND FAT FREE MILK","Hot chocolate / Cocoa, made with dry mix and fat free milk"
11514150,"HOT CHOCOLATE / COCOA, MADE WITH DRY MIX AND NON-DAIRY MILK","Hot chocolate / Cocoa, made with dry mix and non-dairy milk"
11514310,"HOT CHOCOLATE / COCOA, MADE WITH NO SUGAR ADDED DRY MIX AND","Hot chocolate / Cocoa, made with no sugar added dry mix and water"
11514320,"HOT CHOCOLATE / COCOA, MADE WITH NO SUGAR ADDED DRY MIX AND","Hot chocolate / Cocoa, made with no sugar added dry mix and whole milk"
11514330,"HOT CHOCOLATE / COCOA, MADE WITH NO SUGAR ADDED DRY MIX AND","Hot chocolate / Cocoa, made with no sugar added dry mix and reduced fat milk"
11514340,"HOT CHOCOLATE / COCOA, MADE WITH NO SUGAR ADDED DRY MIX AND","Hot chocolate / Cocoa, made with no sugar added dry mix and low fat milk"
11514350,"HOT CHOCOLATE / COCOA, MADE WITH NO SUGAR ADDED DRY MIX AND","Hot chocolate / Cocoa, made with no sugar added dry mix and fat free milk"
11514360,"HOT CHOCOLATE / COCOA, MADE WITH NO SUGAR ADDED DRY MIX AND","Hot chocolate / Cocoa, made with no sugar added dry mix and non-dairy milk"
11519040,"STRAWBERRY MILK, NFS","Strawberry milk, NFS"
11519050,"STRAWBERRY MILK, WHOLE","Strawberry milk, whole"
11519105,"STRAWBERRY MILK, REDUCED FAT","Strawberry milk, reduced fat"
11519200,"STRAWBERRY MILK, LOW FAT","Strawberry milk, low fat"
11519205,"STRAWBERRY MILK, FAT FREE","Strawberry milk, fat free"
11519210,"STRAWBERRY MILK, REDUCED SUGAR","Strawberry milk, reduced sugar"
11519215,"STRAWBERRY MILK, NON-DAIRY","Strawberry milk, non-dairy"
11526000,"MILK, MALTED","Milk, malted"
11531000,"EGGNOG","Eggnog"
11541110,"MILK SHAKE, HOME RECIPE, CHOCOLATE","Milk shake, home recipe, chocolate"
11541120,"MILK SHAKE, HOME RECIPE, FLAVORS OTHER THAN CHOCOLATE","Milk shake, home recipe, flavors other than chocolate"
11541130,"MILK SHAKE, HOME RECIPE, CHOCOLATE, LIGHT","Milk shake, home recipe, chocolate, light"
11541135,"MILK SHAKE, HOME RECIPE, FLAVORS OTHER THAN CHOCOLATE, LIGHT","Milk shake, home recipe, flavors other than chocolate, light"
11541400,"MILK SHAKE WITH MALT","Milk shake with malt"
11542100,"MILK SHAKE, FAST FOOD, CHOCOLATE","Milk shake, fast food, chocolate"
11542200,"MILK SHAKE, FAST FOOD, FLAVORS OTHER THAN CHOCOLATE","Milk shake, fast food, flavors other than chocolate"
11543000,"MILK SHAKE, BOTTLED, CHOCOLATE","Milk shake, bottled, chocolate"
11543010,"MILK SHAKE, BOTTLED, FLAVORS OTHER THAN CHOCOLATE","Milk shake, bottled, flavors other than chocolate"
11551050,"LICUADO OR BATIDO","Licuado or Batido"
11553100,"FRUIT SMOOTHIE, NFS","Fruit smoothie, NFS"
11553110,"FRUIT SMOOTHIE, WITH WHOLE FRUIT AND DAIRY","Fruit smoothie, with whole fruit and dairy"
